"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that input sanitization prevents XSS attacks on search","0","verifyInputSanitizationOnSearch","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.SecurityTest","Home Page Test","com.store.tests.SecurityTest","verifyInputSanitizationOnSearch"
"Verify that the product details are displayed correctly","15","verifyProductDetails","Ecommerce Suite","2026-08-02","skipped","2026-08-02","com.store.tests.ProductTest","Home Page Test","com.store.tests.ProductTest","verifyProductDetails"
"Verify that gender radio buttons are displayed on the registration page","815","verifyGenderRadioButtons","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyGenderRadioButtons"
"Verify that the user cannot register with mismatch password","945","verifyUserCannotRegisterWithMismatchPassword","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyUserCannotRegisterWithMismatchPassword"
"Verify that the application is protected against SQL injection and script injection","0","verifyRegisterWithScriptInjection","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.SecurityTest","Home Page Test","com.store.tests.SecurityTest","verifyRegisterWithScriptInjection"
"Verify that the cart item quantity counter displays correctly","1","verifyCartItemCounter","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CartTest","Home Page Test","com.store.tests.CartTest","verifyCartItemCounter"
"Verify that the user cannot register with missing data","1","verifyUserCannotRegisterWithMissingData","Ecommerce Suite","2026-08-02","skipped","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyUserCannotRegisterWithMissingData"
"Verify that login with invalid credentials shows an error message","12124","verifyLoginWithInvalidCredentials","Ecommerce Suite","2026-08-02","broken","2026-08-02","com.store.tests.LoginTest","Home Page Test","com.store.tests.LoginTest","verifyLoginWithInvalidCredentials"
"Verify that the footer copyright is displayed on the home page","82","verifyFooterCopyright","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyFooterCopyright"
"Verify that the registration form accepts user input in all fields","11022","verifyRegistrationFormAcceptsInput","Ecommerce Suite","2026-08-02","broken","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyRegistrationFormAcceptsInput"
"Verify that the forgot password link is displayed on the login page","445","verifyForgotPasswordLink","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.LoginTest","Home Page Test","com.store.tests.LoginTest","verifyForgotPasswordLink"
"Verify that registration form labels are displayed correctly","462","verifyRegistrationFormLabels","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyRegistrationFormLabels"
"Verify that the application is protected against SQL injection and script injection","1","verifyLoginWithSQLInjection","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.SecurityTest","Home Page Test","com.store.tests.SecurityTest","verifyLoginWithSQLInjection"
"Verify that the cart page loads and displays correctly","1","verifyCartPageLoads","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CartTest","Home Page Test","com.store.tests.CartTest","verifyCartPageLoads"
"Verify that removing items from the cart works correctly","1","verifyRemoveFromCart","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CartTest","Home Page Test","com.store.tests.CartTest","verifyRemoveFromCart"
"Verify that the user can login successfully with valid credentials","1052","doLoginTestWithDataProvider","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.LoginTest","Home Page Test","com.store.tests.LoginTest","doLoginTestWithDataProvider"
"Verify that the user can register successfully","1891","verifyUserCanRegisterSuccessfully","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.RegisterTest","Home Page Test","com.store.tests.RegisterTest","verifyUserCanRegisterSuccessfully"
"Verify that the top header menu is displayed on the home page","4600","verifyTopHeaderMenu","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyTopHeaderMenu"
"Verify that the remember me checkbox is displayed on the login page","428","verifyRememberMeCheckbox","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.LoginTest","Home Page Test","com.store.tests.LoginTest","verifyRememberMeCheckbox"
"Verify that the main logo is displayed on the home page","183","verifyMainLogo","Ecommerce Suite","2026-08-02","failed","2026-08-02","com.store.tests.HomeTest","Home Page Test","com.store.tests.HomeTest","verifyMainLogo"
"Verify that user session times out after a period of inactivity","0","verifySessionTimeout","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.SecurityTest","Home Page Test","com.store.tests.SecurityTest","verifySessionTimeout"
"Verify that the cart total calculation is correct","0","verifyCartTotalCalculation","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CartTest","Home Page Test","com.store.tests.CartTest","verifyCartTotalCalculation"
"Verify that an order can be placed successfully","1","verifyPlaceOrder","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.CheckoutTest","Home Page Test","com.store.tests.CheckoutTest","verifyPlaceOrder"
"Verify that the application enforces HTTPS connection","0","verifySecureConnection","Ecommerce Suite","2026-08-02","passed","2026-08-02","com.store.tests.SecurityTest","Home Page Test","com.store.tests.SecurityTest","verifySecureConnection"
